"identifier","address","label","slaveid",
"y402","0x2081","SV 1NP SCHODY","17",
"y401","0x2080","SV 2NP KUCHYN LINKA","17",
"y403","0x2082","SV 1NP OBYVAK KRB STR","17",
"y404","0x2083","SV 1NP OBYVAK KRB KRJ","17",
"y405","0x2084","SV 2NP LOZNICE KRJ","17",
"y406","0x2085","SV 2NP LOZNICE STR","17",
"y407","0x2086","SV 1NP WC","17",
"y409","0x2088","SV 0NP KOMORA KRJ","17",
"y410","0x2089","SV 0NP KOMORA STR","17",
"y411","0x208a","SV 0NP GARAZ 1","17",
"y412","0x208b","SV 0NP VRATA","17",
"y413","0x208c","SV 0NP GARAZ 2","17",
"y414","0x208d","SV 0NP GARAZ 3","17",
"y415","0x208e","SV 0NP SCHODY","17",
"y416","0x208f","SV 0NP CHODBA","17",
"y501","0x20a0","SV 1NP VCHOD","17",
"y503","0x20a2","SV 1NP PRISTAVBA","17",
"y505","0x20a4","SV 0NP SPIZIRNA STR","17",
"y506","0x20a5","SV 0NP SPIZIRNA KRJ","17",
"y509","0x20a8","SV 2NP LOZNICE BOD L","17",
"y510","0x20a9","SV 2NP LOZNICE BOD P","17",
"y511","0x20aa","SV 1NP KOUPELNA ZRCADLO","17",
"y512","0x20ab","ZA 1NP KOUPELNA ZRCADLO","17",
"y513","0x20ac","SV 2NP KOUPELNA","17",
"y514","0x20ad","SV 2NP KOUPELNA SPRCHA","17",
"y515","0x20ae","SV 2NP JIDELNA KRJ","17",
"y516","0x20af","SV 2NP JIDELNA STR","17",
"y603","0x20c2","SV 2NP CHODBA","17",
"y605","0x20c4","SV 2NP KUCHYN STRED","17",
"y606","0x20c5","SV 2NP KUCHYN BAR","17",
"y607","0x20c6","SV 2NP OBYVAK TV KRJ","17",
"y608","0x20c7","SV 2NP OBYVAK TV STR","17",
"y609","0x20c8","SV 1NP JIDELNA KRJ","17",
"y610","0x20c9","SV 1NP JIDELNA STR","17",
"y611","0x20ca","SV 1NP KOUPELNA BOD","17",
"y613","0x20cc","SV 1NP KUCHYN LINKA","17",
"y614","0x20cd","SV 1NP KUCHYN TROUBA","17",
"y615","0x20ce","SV 1NP KUCHYN ZARIVKA L","17",
"y616","0x20cf","SV 1NP KUCHYN ZARIVKA P","17",
"y701","0x20e0","SV 2NP OBYVAK STRED KRJ","17",
"y702","0x20e1","SV 2NP OBYVAK STRED STR","17",
"y703","0x20e2","SV 1NP OBYVAK OKNO STR","17",
"y704","0x20e3","SV 1NP OBYVAK OKNO KRJ","17",
"y705","0x20e4","SV 1NP CHODBA PRISTAVBA","17",
"y706","0x20e5","SV 1NP CHODBA KOUPELNA","17",
"y707","0x20e6","SV 2NP KOUPELNA ZRCADLO","17",
"y709","0x20e8","SV 2NP PRACOVNA KRJ","17",
"y710","0x20e9","SV 2NP PRACOVNA STR","17",
"y711","0x20ea","SV 2NP KUCHYN SOKL","17",
"y712","0x20eb","SV 2NP KUCHYN SIKMINA","17",
"y713","0x20ec","SV 1NP LOZNICE STR","17",
"y714","0x20ed","SV 1NP LOZNICE KRJ","17",
"y715","0x20ee","SV 1NP TECH MISTNOST","17",
"y801","0x2100","SV 3NP POKOJ 1 JIH","17",
"y802","0x2101","SV 3NP POKOJ 1 SEVER","17",
"y803","0x2102","SV 3NP CHODBA ZAPAD","17",
"y804","0x2103","SV 2NP SCHODY","17",
"y805","0x2104","SV 3NP CHODBA VYCHOD","17",
"y807","0x2106","SV 3NP POKOJ 2 JIH","17",
"y808","0x2107","SV 3NP POKOJ 2 SEVER","17",
"c101","0x4064","SV DUM SV","17",
"c102","0x4065","SV DUM JV","17",
"c103","0x4066","SV DUM JZ","17",
"c104","0x4067","SV DUM SZ","17",
"c105","0x4068","SV PARKING","17",
"c106","0x4069","SV ZAHR J","17",
"c107","0x406a","SV RODODEN","17",
"c108","0x406b","SV GARAZ","17",
"c109","0x406c","SV CHALOUP","17",
"c110","0x406d","SV STUDNA","17",
"c111","0x406e","SV ZAHR S","17",
"c200","0x40c7","MB LATCH","17",
"c201","0x40c8","MB SENDING","17",
"c202","0x40c9","MB SUCCESS","17",
"c203","0x40ca","MB ERROR","17",
